"﻿http://court.gov.ua/log_documents/24901288/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 11:29:17...";"Єдиний унікальний номер: 761/33146/17";"Номер провадження: 1-кс/761/21102/2017";"Номер провадження слідчих органів: 1/2017/11/000/0000144";;;;;
"http://court.gov.ua/log_documents/24914175/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:14:27...";"Єдиний унікальний номер: 761/33206/17";"Номер провадження: 2/761/7214/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24914179/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:55:24...";"Єдиний унікальний номер: 761/33204/17";"Номер провадження: 1-кп/761/1652/2017";"Номер провадження слідчих органів: 4/2017/00/000/0002957";;;;;
"http://court.gov.ua/log_documents/24914246/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:15:03...";"Єдиний унікальний номер: 761/33205/17";"Номер провадження: 3/761/6940/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24914352/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:18:11...";"Єдиний унікальний номер: 761/33208/17";"Номер провадження: 2/761/7215/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24914399/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:59:31...";"Єдиний унікальний номер: 761/33207/17";"Номер провадження: 1-в/761/406/2017";"Спеціалізація: Кримінальні справи";;;;;
"http://court.gov.ua/log_documents/24914540/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:21:59...";"Єдиний унікальний номер: 761/33209/17";"Номер провадження: 2/761/7216/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24914741/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:26:08...";"Єдиний унікальний номер: 761/33210/17";"Номер провадження: 2/761/7217/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24914931/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:29:30...";"Єдиний унікальний номер: 761/33211/17";"Номер провадження: 2/761/7218/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24915093/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:33:29...";"Єдиний унікальний номер: 761/33212/17";"Номер провадження: 2/761/7219/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24915487/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:36:38...";"Єдиний унікальний номер: 761/33213/17";"Номер провадження: 2/761/7220/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24915856/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:40:33...";"Єдиний унікальний номер: 761/33214/17";"Номер провадження: 2/761/7221/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916135/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:44:27...";"Єдиний унікальний номер: 761/33215/17";"Номер провадження: 2/761/7222/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916337/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:48:11...";"Єдиний унікальний номер: 761/33216/17";"Номер провадження: 2/761/7223/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916518/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:52:13...";"Єдиний унікальний номер: 761/33217/17";"Номер провадження: 2/761/7224/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916658/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:54:45...";"Єдиний унікальний номер: 761/33218/17";"Номер провадження: 3/761/6941/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24916667/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:56:21...";"Єдиний унікальний номер: 761/33219/17";"Номер провадження: 2/761/7225/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916837/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:06:05...";"Єдиний унікальний номер: 761/33220/17";"Номер провадження: 1-кп/761/1653/2017";"Номер провадження слідчих органів: 4/2017/10/000/0001140";;;;;
"http://court.gov.ua/log_documents/24916862/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:59:03...";"Єдиний унікальний номер: 761/33221/17";"Номер провадження: 3/761/6942/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
"http://court.gov.ua/log_documents/24916868/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 15:59:53...";"Єдиний унікальний номер: 761/33222/17";"Номер провадження: 2/761/7226/2017";"Поєднано зі справою № 761/30644/17[2610-24585880] з типом поєднання Виділено в окреме провадження";;;;;
"http://court.gov.ua/log_documents/24916977/2610/";"Дата та час початку автоматичного розподілу  20.09.2017 16:00:53...";"Єдиний унікальний номер: 761/33223/17";"Номер провадження: 3/761/6943/2017";"Спеціалізація: Справи про адмінправопорушення";;;;;
